Total Sentiment Score,Follower Count,Tweet
0.10727999999999993,5000,I liked you guys better when you just claimed bullshit national championships.  Now you claim the accomplishments o… https://t.co/PydSMvqaou
0.0,4534,"RT @charliekirk11: New polls: 

Michigan: 

Trump - 46
Biden - 41

Pennsylvania: 

Trump - 46 
Biden - 41

Wisconsin: 

Trump - 48
Biden -…"
0.9451799999999999,285,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.29974,2324,RT @JsScope: Honored to have @FrameableFaces Doug &amp; Ally represent their state of Michigan as presenters on tonight’s Golden Squirrel Award…
0.9451799999999999,2545,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.12829000000000004,87,"@IngrahamAngle Slotkin is another AOC in disguise. Wouldn’t trust her at all. I’m from Michigan, will never vote fo… https://t.co/rfZMdsxE6Y"
-0.82651,1260,Michigan lawmakers to Trudeau: Don’t store nuclear waste near lakes - Great Lakes Commission https://t.co/nftdEk3fy5
1.7457,528,RT @jayharrell32: I am excited and blessed to announce my commitment to the University of Michigan 🙏🏽 https://t.co/zguORPX1WT
0.37136,732,"@Goonerberg Get shot by a pastor from Michigan that paid $1,000 for the right to do so"
1.7457,958,RT @jayharrell32: I am excited and blessed to announce my commitment to the University of Michigan 🙏🏽 https://t.co/zguORPX1WT
0.77615,248,"Check out my music on #applemusic 
#rap #rapper #music #artist #jxydan #newmusicalert #new @ Detroit, Michigan https://t.co/C2AvfD44wk"
1.7457,790,RT @jayharrell32: I am excited and blessed to announce my commitment to the University of Michigan 🙏🏽 https://t.co/zguORPX1WT
0.24298000000000003,41,"@RiderPride1234 Just please don't forget to send some to Jackson, Michigan"
0.9451799999999999,27812,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
1.7978199999999998,265,RT @_indinicole: I really can’t believe that I just experienced what I believe to be discrimination from what appears to now be an unjust s…
-0.49146999999999996,29,RT @craigrwall: Crazy video: Watch as Park district truck slides off into Lake Michigan. The two employees inside got out safely. ⁦@ABC7Chi…
1.7457,1291,RT @jayharrell32: I am excited and blessed to announce my commitment to the University of Michigan 🙏🏽 https://t.co/zguORPX1WT
-0.32306999999999997,1453,"Big Ten basketball preview: Is Ohio State, not Michigan State, now the favorite? https://t.co/WAxeHDKuCK https://t.co/luFlA6LnfA"
1.7457,49,RT @jayharrell32: I am excited and blessed to announce my commitment to the University of Michigan 🙏🏽 https://t.co/zguORPX1WT
